exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //stubdev:cuda_fullsolve_test_22
-----------------------------------------------------------------------------
Running main() from gmock_main.cc
[==========] Running 1 test from 1 test suite.
[----------] Global test environment set-up.
[----------] 1 test from KernelTest
[ RUN      ] KernelTest.FullSolveTest
Step 0
cycles [k]: 3723945
cycles [k]: 3724565
cycles [k]: 3725825
cycles [k]: 3725940
cycles [k]: 3724596
cycles [k]: 3727528
cycles [k]: 3727964
cycles [k]: 3730978
cycles [k]: 3732870
cycles [k]: 3731600
cycles [k]: 3730558
cycles [k]: 3729921
cycles [k]: 3730277
cycles [k]: 3733347
cycles [k]: 3732827
cycles [k]: 3732011
cycles [k]: 3737044
cycles [k]: 3731945
cycles [k]: 3735252
cycles [k]: 3733755
cycles [k]: 3733809
cycles [k]: 3737787
cycles [k]: 3733266
cycles [k]: 3734472
cycles [k]: 3733962
cycles [k]: 3735023
cycles [k]: 3735529
cycles [k]: 3737609
cycles [k]: 3735968
cycles [k]: 3736180
cycles [k]: 3740642
cycles [k]: 3737885
cycles [k]: 3741419
cycles [k]: 3734746
cycles [k]: 3738445
cycles [k]: 3744864
cycles [k]: 3736853
cycles [k]: 3739487
cycles [k]: 3745055
cycles [k]: 3742896
cycles [k]: 3741772
cycles [k]: 3743243
cycles [k]: 3745969
cycles [k]: 3742865
cycles [k]: 3744139
cycles [k]: 3744493
cycles [k]: 3744989
cycles [k]: 3745289
cycles [k]: 3752034
cycles [k]: 3748708
cycles [k]: 3753868
cycles [k]: 3747221
cycles [k]: 3748202
cycles [k]: 3748991
cycles [k]: 3753373
cycles [k]: 3750149
cycles [k]: 3748940
cycles [k]: 3751600
cycles [k]: 3754810
cycles [k]: 3754094
cycles [k]: 3755263
cycles [k]: 3756553
cycles [k]: 3754042
cycles [k]: 3754288
cycles [k]: 3761748
cycles [k]: 3757882
cycles [k]: 3757443
cycles [k]: 3760053
cycles [k]: 3763888
cycles [k]: 3760414
cycles [k]: 3760376
cycles [k]: 3762734
cycles [k]: 3760915
cycles [k]: 3759054
cycles [k]: 3762622
cycles [k]: 3761915
cycles [k]: 3763405
cycles [k]: 3762049
cycles [k]: 3762232
cycles [k]: 3762855
cycles [k]: 3761294
cycles [k]: 3764184
cycles [k]: 3767579
cycles [k]: 3767500
cycles [k]: 3773874
cycles [k]: 3764848
cycles [k]: 3767938
cycles [k]: 3768180
cycles [k]: 3769400
cycles [k]: 3769497
cycles [k]: 3770727
cycles [k]: 3775816
cycles [k]: 3775841
cycles [k]: 3771848
cycles [k]: 3774396
cycles [k]: 3774535
cycles [k]: 3778602
cycles [k]: 3774886
cycles [k]: 3774958
cycles [k]: 3775458
cycles [k]: 3776969
cycles [k]: 3776832
cycles [k]: 3775908
cycles [k]: 3774102
cycles [k]: 3774486
cycles [k]: 3777542
cycles [k]: 3776828
cycles [k]: 3779905
cycles [k]: 3777525
cycles [k]: 3778495
cycles [k]: 3779799
cycles [k]: 3783601
cycles [k]: 3785363
cycles [k]: 3782691
cycles [k]: 3781133
cycles [k]: 3781562
cycles [k]: 3783548
cycles [k]: 3783885
cycles [k]: 3783020
cycles [k]: 3782815
cycles [k]: 3788432
cycles [k]: 3786303
cycles [k]: 3786362
cycles [k]: 3786576
cycles [k]: 3787865
cycles [k]: 3791677
cycles [k]: 3787345
cycles [k]: 3787436
cycles [k]: 3787433
cycles [k]: 3794727
cycles [k]: 3787399
cycles [k]: 3789326
cycles [k]: 3787498
cycles [k]: 3791228
cycles [k]: 3791592
cycles [k]: 3792565
cycles [k]: 3793007
cycles [k]: 3795063
cycles [k]: 3795649
cycles [k]: 3794856
cycles [k]: 3796087
cycles [k]: 3800306
cycles [k]: 3796273
cycles [k]: 3797069
cycles [k]: 3796537
cycles [k]: 3797695
cycles [k]: 3797691
cycles [k]: 3798734
cycles [k]: 3796023
cycles [k]: 3796175
cycles [k]: 3798405
cycles [k]: 3797505
cycles [k]: 3801117
cycles [k]: 3801585
cycles [k]: 3805670
cycles [k]: 3803026
cycles [k]: 3809123
cycles [k]: 3812016
cycles [k]: 3805779
cycles [k]: 3803061
cycles [k]: 3806661
cycles [k]: 3806709
cycles [k]: 3804018
cycles [k]: 3810920
cycles [k]: 3807902
cycles [k]: 3813914
cycles [k]: 3809850
cycles [k]: 3811279
cycles [k]: 3813544
cycles [k]: 3811603
cycles [k]: 3811288
cycles [k]: 3811568
cycles [k]: 3810872
cycles [k]: 3812252
cycles [k]: 3812403
cycles [k]: 3812566
cycles [k]: 3813188
cycles [k]: 3816829
cycles [k]: 3817066
cycles [k]: 3813356
cycles [k]: 3814139
cycles [k]: 3814391
cycles [k]: 3816167
cycles [k]: 3817663
cycles [k]: 3818523
cycles [k]: 3821273
cycles [k]: 3825767
cycles [k]: 3819446
cycles [k]: 3816631
cycles [k]: 3820819
cycles [k]: 3825850
cycles [k]: 3822679
cycles [k]: 3822128
cycles [k]: 3821014
cycles [k]: 3821321
cycles [k]: 3823128
